algorithm, output_bits, input_bits, efficiency, min_entropy_input_rate
sha-512  ,  512  ,  4736  ,  0.9177  ,  0.1178
sha-512  ,  512  ,  4864  ,  0.9177  ,  0.1147
sha-512  ,  512  ,  4992  ,  0.9182  ,  0.1117
sha-512  ,  512  ,  5120  ,  0.9183  ,  0.1089
sha-512  ,  512  ,  5248  ,  0.9178  ,  0.1063
sha-512  ,  512  ,  5376  ,  0.9175  ,  0.1038
sha-512  ,  512  ,  5504  ,  0.9183  ,  0.1013
sha-512  ,  512  ,  5632  ,  0.9183  ,  0.0990
sha-512  ,  512  ,  5760  ,  0.9183  ,  0.0968
sha-512  ,  512  ,  5888  ,  0.9182  ,  0.0947
sha-512  ,  512  ,  6016  ,  0.9181  ,  0.0927
sha-512  ,  512  ,  6144  ,  0.9178  ,  0.0908
